solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,conflict_literals,memory_reported_mb
minisat,asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,SAT,79.2752149105072,10.0,False,False,147073.0,563789.0,486827095.0,382.0,127096.0,296703.0,78.5165,7014906.0,170.06
minisat,WCNF_to_alien_14.cnf,benchmarks/WCNF_to_alien_14.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,ER_500_10_1.apx_1_DC-AD.cnf,benchmarks/ER_500_10_1.apx_1_DC-AD.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,stb_588_138.apx_2_DC-ST.cnf,benchmarks/stb_588_138.apx_2_DC-ST.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,oisc-subrv-sll-nested-15.cnf,benchmarks/oisc-subrv-sll-nested-15.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,ContextModel_output_8_4_10.bul.dimacs.cnf,benchmarks/ContextModel_output_8_4_10.bul.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,CNFPlus_from_fp_12.cnf,benchmarks/CNFPlus_from_fp_12.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,eqspctbk14spwtcl14.cnf,benchmarks/eqspctbk14spwtcl14.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,PRP_200_100.cnf,benchmarks/PRP_200_100.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,sgen3-n260-s62321009-sat.cnf,benchmarks/sgen3-n260-s62321009-sat.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,hash_table_find_safety_size_20.cnf,benchmarks/hash_table_find_safety_size_20.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,brent_65_0.1.cnf,benchmarks/brent_65_0.1.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,brent_63_0.26.cnf,benchmarks/brent_63_0.26.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,iso-brn100.shuffled-as.sat05-3025.cnf,benchmarks/iso-brn100.shuffled-as.sat05-3025.cnf,SAT,0.0406966209411621,10.0,False,False,265.0,750.0,15193.0,3.0,3587.0,8859.0,0.017001,2487.0,83.29
minisat,ContextModel_output_8_4_8.bul_.dimacs.cnf,benchmarks/ContextModel_output_8_4_8.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,grs-64-160.cnf,benchmarks/grs-64-160.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,shift1add.28943.cnf,benchmarks/shift1add.28943.cnf,UNSAT,12.583340406417848,20.0,False,False,35881.0,19391801.0,75290099.0,126.0,636737.0,1128757.0,11.8986,148729.0,317.53
minisat,asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,benchmarks/asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,SAT,211.59620833396912,10.0,False,False,248398.0,1037840.0,1358646846.0,574.0,158682.0,372495.0,209.997,15394303.0,214.01
minisat,mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,benchmarks/mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,SAT,0.5222163200378418,10.0,False,False,7783.0,26063.0,939095.0,31.0,2396.0,83733.0,0.450742,302810.0,89.7
minisat,PRP_100_250.cnf,benchmarks/PRP_100_250.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,22_1.cnf,benchmarks/22_1.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,PRP_100_500.cnf,benchmarks/PRP_100_500.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,TableSymModel_output_8_3_10.bul_.dimacs.cnf,benchmarks/TableSymModel_output_8_3_10.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,hash_table_find_safety_size_24.cnf,benchmarks/hash_table_find_safety_size_24.cnf,UNSAT,114.43826866149902,20.0,False,False,13550.0,1635824.0,546756716.0,60.0,15062376.0,60600058.0,110.978,2347794.0,7428.14
minisat,PRP_30_36.cnf,benchmarks/PRP_30_36.cnf,SAT,87.60483312606812,10.0,False,False,1356336.0,18622218.0,493200961.0,2558.0,167970.0,999018.0,86.6466,26980633.0,416.65
minisat,satsgi-n23himBHm26-p0-q248.cnf,benchmarks/satsgi-n23himBHm26-p0-q248.cnf,SAT,0.0491187572479248,10.0,False,False,0.0,324.0,598.0,1.0,598.0,14076.0,0.00881,0.0,83.04
minisat,goldberg03:hard_eq_check:i10mul.miter.used-as.sat04-333.cnf,benchmarks/goldberg03:hard_eq_check:i10mul.miter.used-as.sat04-333.cnf,UNSAT,77.31114339828491,20.0,False,False,1042470.0,5839953.0,466982866.0,2047.0,12998.0,77941.0,76.622,44744527.0,156.33
minisat,satcoin-genesis-UNSAT-10600.cnf,benchmarks/satcoin-genesis-UNSAT-10600.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,par32-4.shuffled.cnf,benchmarks/par32-4.shuffled.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,SCPC-800-41.cnf,benchmarks/SCPC-800-41.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,Urquhart-s5-b4.shuffled.cnf,benchmarks/Urquhart-s5-b4.shuffled.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,6s166.cnf,benchmarks/6s166.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,intervals788.cnf,benchmarks/intervals788.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,preimage_80r_490m_160h_seed_150.cnf,benchmarks/preimage_80r_490m_160h_seed_150.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,10pipe_q0_k.cnf,benchmarks/10pipe_q0_k.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,iso-icl004.shuffled-as.sat05-3238.cnf,benchmarks/iso-icl004.shuffled-as.sat05-3238.cnf,UNSAT,0.0348320007324218,20.0,False,False,15.0,15.0,1263.0,1.0,1000.0,7393.0,0.010303,22.0,82.73
minisat,lisa19_99_a.shuffled.cnf,benchmarks/lisa19_99_a.shuffled.cnf,SAT,1.27734375,10.0,False,False,34493.0,45212.0,8002630.0,125.0,1201.0,6428.0,1.23455,1245018.0,82.87
minisat,satcoin-genesis-UNSAT-17800.cnf,benchmarks/satcoin-genesis-UNSAT-17800.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,intervals718.cnf,benchmarks/intervals718.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,FileObject_open_12.cnf,benchmarks/FileObject_open_12.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,grs-128-32.cnf,benchmarks/grs-128-32.cnf,UNSAT,262.5941963195801,20.0,False,False,3280027.0,7784598.0,1805831590.0,5869.0,94810.0,279158.0,259.959,94906583.0,262.05
minisat,satcoin-genesis-UNSAT-18800.cnf,benchmarks/satcoin-genesis-UNSAT-18800.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
