category,solver,decisions_per_conflict,conflicts_per_decision,decisions_per_second,restarts_per_conflict,conflicts_per_restart,restarts_per_second,learned_per_conflict,removed_per_conflict,reduced_per_conflict,propagations_per_conflict,propagations_per_decision
crafted,cadical,4.67853561010783,0.2137420943937097,43255.836857620016,0.0285660907780723,35.00654001868577,213.82130070260155,0.9484929983214884,,,90.79205856370815,29.151573703711627
crafted,glucose,6.63987467166303,0.1168926346647123,42849.20420533658,0.0038752252762722,248.07083683515427,39.03255327592514,,0.7980827700639462,0.01227126078323185,429.4372497984743,46.71120946983475
crafted,maplesat,2.6828270243208356,0.34846184548587367,21107.402742505637,0.0019339071202407001,514.8287485842245,20.27208739136545,,,,190.63849041209824,77.01337560071028
industrial,cadical,20.33617780393687,0.050213663102772546,81792.64234843435,0.03711582504876185,26.95496736412994,478.7750247092814,0.9527078017657086,,,486.8541745402183,16.67987144013994
industrial,glucose,5.536133623093728,0.18065292354409124,31687.211971650373,0.00594607325380405,168.18338398534326,40.628336656084514,,0.8277347200231769,0.00409568752679525,564.3477384415285,95.79276060312756
industrial,maplesat,85.60723819738146,0.01168746942656175,16849.635462920003,0.0037429936090251498,267.2133278598796,5.509765818733333,,,,1903.404176837503,131.8765098576319
random,cadical,1.8635723585587733,0.5367571433437826,49836.8226263809,0.033100631618939,30.21090387374462,970.0662150378018,0.9557727967878804,,,74.21625814306458,38.47004618155279
random,glucose,1.6489946633604655,0.6007790791185745,33650.39024767837,0.0030467059030542,325.757935396892,45.00911610207687,,0.688743998723002,0.0072289156626506,78.4020257682427,43.22570666925023
random,maplesat,1.431883767733444,0.6840608248550487,33621.807322867164,0.0026726707945009497,367.512676056338,62.00112864528969,,,,91.37578865976992,48.85660906118636
unknown,cadical,2.716656868453237,0.37164734579601694,48149.04489854735,0.04415600260663285,23.997964182864536,573.3890642513417,0.955581187564989,,,106.46340546320872,45.988651020719715
unknown,glucose,1.2830554869411357,0.7793895199217353,41003.82381489294,0.0020104398986386,497.40357852882704,62.3464461335747,,0.796366404363541,0.0196298854167191,145.4135910533426,68.8655642445965
unknown,maplesat,2.1599601593625497,0.4629715023517476,34709.50710597622,0.0031303357996585,319.45454545454544,50.30297073368446,,,,314.91784291405804,145.79798685129313
