solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,learned_clauses,reduced,subsumed,strengthened,vivified,process_time_reported,real_time_reported,memory_reported_mb,exit_code_reported,blocked_restarts,reduce_db_calls,removed_clauses,avg_learnt_size,learnts_dl2,learnts_size2,learnts_size1,reduced_clauses,conflict_literals,actual_reward
cadical,asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,SAT,242.54150199890137,10.0,False,False,1433390.0,49876346.0,864871414.0,196612.0,,,,1260375.0,1009270.0,108051.0,155176.0,4914.0,240.56,242.51,139.67,10.0,,,,,,,,,,
glucose,asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,SAT,263.752503156662,10.0,False,False,840506.0,2341076.0,1430131308.0,2312.0,127096.0,296703.0,263.215,,,,,,,,,,9450.0,25.0,767966.0,34.0,920.0,96.0,7.0,354.0,,
maplesat,asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,WCNF_to_alien_14.cnf,benchmarks/WCNF_to_alien_14.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,WCNF_to_alien_14.cnf,benchmarks/WCNF_to_alien_14.cnf,TIMEOUT,300.0,,True,False,,,,,448.0,5562.0,,,,,,,,,,,,,,,,,,,,
maplesat,WCNF_to_alien_14.cnf,benchmarks/WCNF_to_alien_14.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,ER_500_10_1.apx_1_DC-AD.cnf,benchmarks/ER_500_10_1.apx_1_DC-AD.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,ER_500_10_1.apx_1_DC-AD.cnf,benchmarks/ER_500_10_1.apx_1_DC-AD.cnf,TIMEOUT,300.0,,True,False,,,,,1002.0,38763.0,,,,,,,,,,,,,,,,,,,,
maplesat,ER_500_10_1.apx_1_DC-AD.cnf,benchmarks/ER_500_10_1.apx_1_DC-AD.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,stb_588_138.apx_2_DC-ST.cnf,benchmarks/stb_588_138.apx_2_DC-ST.cnf,UNSAT,164.74405026435852,20.0,False,False,3066973.0,4146750.0,262619644.0,96765.0,,,,3005618.0,2049647.0,809360.0,38150.0,13291.0,150.83,164.72,68.0,20.0,,,,,,,,,,
glucose,stb_588_138.apx_2_DC-ST.cnf,benchmarks/stb_588_138.apx_2_DC-ST.cnf,TIMEOUT,300.0,,True,False,,,,,1176.0,13472.0,,,,,,,,,,,,,,,,,,,,
maplesat,stb_588_138.apx_2_DC-ST.cnf,benchmarks/stb_588_138.apx_2_DC-ST.cnf,UNSAT,83.59854316711426,20.0,False,False,1348682.0,1609001.0,219971922.0,2558.0,1176.0,13472.0,82.4697,,,,,,,,,,,,,,,,,,42887700.0,0.09998
cadical,oisc-subrv-sll-nested-15.cnf,benchmarks/oisc-subrv-sll-nested-15.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,oisc-subrv-sll-nested-15.cnf,benchmarks/oisc-subrv-sll-nested-15.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,oisc-subrv-sll-nested-15.cnf,benchmarks/oisc-subrv-sll-nested-15.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,ContextModel_output_8_4_10.bul.dimacs.cnf,benchmarks/ContextModel_output_8_4_10.bul.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,ContextModel_output_8_4_10.bul.dimacs.cnf,benchmarks/ContextModel_output_8_4_10.bul.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,45920.0,308483.0,,,,,,,,,,,,,,,,,,,,
maplesat,ContextModel_output_8_4_10.bul.dimacs.cnf,benchmarks/ContextModel_output_8_4_10.bul.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,CNFPlus_from_fp_12.cnf,benchmarks/CNFPlus_from_fp_12.cnf,UNSAT,1.1351089477539062,20.0,False,False,45617.0,50160.0,2350638.0,611.0,,,,44874.0,9845.0,24739.0,1500.0,297.0,1.09,1.11,67.0,20.0,,,,,,,,,,
glucose,CNFPlus_from_fp_12.cnf,benchmarks/CNFPlus_from_fp_12.cnf,TIMEOUT,300.0,,True,False,,,,,348.0,4817.0,,,,,,,,,,,,,,,,,,,,
maplesat,CNFPlus_from_fp_12.cnf,benchmarks/CNFPlus_from_fp_12.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,eqspctbk14spwtcl14.cnf,benchmarks/eqspctbk14spwtcl14.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,eqspctbk14spwtcl14.cnf,benchmarks/eqspctbk14spwtcl14.cnf,TIMEOUT,300.0,,True,False,,,,,4699.0,14013.0,,,,,,,,,,,,,,,,,,,,
maplesat,eqspctbk14spwtcl14.cnf,benchmarks/eqspctbk14spwtcl14.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,PRP_200_100.cnf,benchmarks/PRP_200_100.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,PRP_200_100.cnf,benchmarks/PRP_200_100.cnf,TIMEOUT,300.0,,True,False,,,,,3143157.0,18802856.0,,,,,,,,,,,,,,,,,,,,
maplesat,PRP_200_100.cnf,benchmarks/PRP_200_100.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,sgen3-n260-s62321009-sat.cnf,benchmarks/sgen3-n260-s62321009-sat.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,sgen3-n260-s62321009-sat.cnf,benchmarks/sgen3-n260-s62321009-sat.cnf,TIMEOUT,300.0,,True,False,,,,,260.0,624.0,,,,,,,,,,,,,,,,,,,,
maplesat,sgen3-n260-s62321009-sat.cnf,benchmarks/sgen3-n260-s62321009-sat.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,hash_table_find_safety_size_20.cnf,benchmarks/hash_table_find_safety_size_20.cnf,UNSAT,280.02646923065186,20.0,False,False,14668.0,9424362.0,203911103.0,843.0,,,,10294.0,2877.0,32170806.0,25049.0,434.0,272.47,278.61,20408.14,20.0,,,,,,,,,,
glucose,hash_table_find_safety_size_20.cnf,benchmarks/hash_table_find_safety_size_20.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,hash_table_find_safety_size_20.cnf,benchmarks/hash_table_find_safety_size_20.cnf,UNSAT,138.09948301315308,20.0,False,False,15209.0,1548579.0,345516115.0,62.0,11544110.0,46323062.0,134.441,,,,,,,,,,,,,,,,,,2129027.0,0.00362
cadical,brent_65_0.1.cnf,benchmarks/brent_65_0.1.cnf,SAT,7.66621994972229,10.0,False,False,55449.0,857630.0,21728132.0,1466.0,,,,47891.0,26641.0,3154.0,10077.0,,7.56,7.64,96.3,10.0,,,,,,,,,,
glucose,brent_65_0.1.cnf,benchmarks/brent_65_0.1.cnf,TIMEOUT,300.0,,True,False,,,,,77577.0,276874.0,,,,,,,,,,,,,,,,,,,,
maplesat,brent_65_0.1.cnf,benchmarks/brent_65_0.1.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,brent_63_0.26.cnf,benchmarks/brent_63_0.26.cnf,SAT,4.744906902313232,10.0,False,False,55565.0,717029.0,16786728.0,1690.0,,,,47489.0,28932.0,3973.0,9807.0,471.0,4.69,4.73,70.62,10.0,,,,,,,,,,
glucose,brent_63_0.26.cnf,benchmarks/brent_63_0.26.cnf,TIMEOUT,300.0,,True,False,,,,,74886.0,173314.0,,,,,,,,,,,,,,,,,,,,
maplesat,brent_63_0.26.cnf,benchmarks/brent_63_0.26.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,iso-brn100.shuffled-as.sat05-3025.cnf,benchmarks/iso-brn100.shuffled-as.sat05-3025.cnf,SAT,0.0644266605377197,10.0,False,False,167.0,9197.0,19920.0,4.0,,,,158.0,,1953.0,705.0,,0.03,0.03,67.0,10.0,,,,,,,,,,
glucose,iso-brn100.shuffled-as.sat05-3025.cnf,benchmarks/iso-brn100.shuffled-as.sat05-3025.cnf,SAT,0.027895450592041,10.0,False,False,226.0,499.0,9319.0,1.0,3587.0,8859.0,0.01646,,,,,,,,,,0.0,0.0,0.0,9.0,11.0,8.0,2.0,47.0,,
maplesat,iso-brn100.shuffled-as.sat05-3025.cnf,benchmarks/iso-brn100.shuffled-as.sat05-3025.cnf,SAT,0.0248832702636718,10.0,False,False,145.0,335.0,7366.0,2.0,3587.0,8859.0,0.013614,,,,,,,,,,,,,,,,,,1260.0,0.269289
cadical,ContextModel_output_8_4_8.bul_.dimacs.cnf,benchmarks/ContextModel_output_8_4_8.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,ContextModel_output_8_4_8.bul_.dimacs.cnf,benchmarks/ContextModel_output_8_4_8.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,36736.0,243458.0,,,,,,,,,,,,,,,,,,,,
maplesat,ContextModel_output_8_4_8.bul_.dimacs.cnf,benchmarks/ContextModel_output_8_4_8.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,grs-64-160.cnf,benchmarks/grs-64-160.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,grs-64-160.cnf,benchmarks/grs-64-160.cnf,TIMEOUT,300.0,,True,False,,,,,448832.0,1290784.0,,,,,,,,,,,,,,,,,,,,
maplesat,grs-64-160.cnf,benchmarks/grs-64-160.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,SAT,102.719788312912,10.0,False,False,529849.0,22480596.0,273506205.0,19246.0,,,,507790.0,330600.0,185707.0,161828.0,9645.0,101.55,102.65,275.36,10.0,,,,,,,,,,
glucose,SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,SAT,76.5587375164032,10.0,False,False,609241.0,34275198.0,331233895.0,8250.0,250016.0,810461.0,75.4628,,,,,,,,,,1144.0,21.0,536529.0,69.0,2916.0,1600.0,10.0,3697.0,,
maplesat,SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,SAT,55.92405462265015,10.0,False,False,321887.0,18247836.0,183802559.0,766.0,250016.0,810461.0,55.161,,,,,,,,,,,,,,,,,,39388133.0,0.042557
cadical,shift1add.28943.cnf,benchmarks/shift1add.28943.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,shift1add.28943.cnf,benchmarks/shift1add.28943.cnf,UNSAT,271.4763357639313,20.0,False,False,146335.0,533488578.0,1126311530.0,1022.0,636737.0,1128757.0,268.606,,,,,,,,,,0.0,7.0,20631.0,4.0,44821.0,43864.0,42054.0,1722.0,,
maplesat,shift1add.28943.cnf,benchmarks/shift1add.28943.cnf,UNSAT,44.46330404281616,20.0,False,False,31410.0,19716265.0,113125219.0,116.0,636737.0,1128757.0,43.7847,,,,,,,,,,,,,,,,,,109924.0,0.002335
cadical,asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,benchmarks/asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,benchmarks/asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,SAT,216.65675354003903,10.0,False,False,393584.0,2202674.0,1388057778.0,2905.0,158682.0,372495.0,214.943,,,,,,,,,,1367.0,17.0,324746.0,46.0,1179.0,182.0,13.0,154.0,,
maplesat,asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,benchmarks/asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,benchmarks/mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,SAT,1.8931336402893064,10.0,False,False,33291.0,169733.0,8112448.0,2138.0,,,,32462.0,23393.0,1895.0,2470.0,217.0,1.86,1.88,67.0,10.0,,,,,,,,,,
glucose,mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,benchmarks/mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,SAT,1.123089075088501,10.0,False,False,35305.0,98211.0,3254531.0,285.0,2396.0,83733.0,1.08185,,,,,,,,,,39.0,4.0,16193.0,33.0,38.0,25.0,0.0,30.0,,
maplesat,mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,benchmarks/mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,SAT,0.3939483165740967,10.0,False,False,7322.0,27434.0,787942.0,31.0,2396.0,83733.0,0.379106,,,,,,,,,,,,,,,,,,229218.0,0.146108
cadical,PRP_100_250.cnf,benchmarks/PRP_100_250.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,PRP_100_250.cnf,benchmarks/PRP_100_250.cnf,TIMEOUT,300.0,,True,False,,,,,3928456.0,23566950.0,,,,,,,,,,,,,,,,,,,,
maplesat,PRP_100_250.cnf,benchmarks/PRP_100_250.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,22_1.cnf,benchmarks/22_1.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,22_1.cnf,benchmarks/22_1.cnf,TIMEOUT,300.0,,True,False,,,,,3648.0,12032.0,,,,,,,,,,,,,,,,,,,,
maplesat,22_1.cnf,benchmarks/22_1.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,PRP_100_500.cnf,benchmarks/PRP_100_500.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,PRP_100_500.cnf,benchmarks/PRP_100_500.cnf,TIMEOUT,300.0,,True,False,,,,,7886458.0,47378648.0,,,,,,,,,,,,,,,,,,,,
maplesat,PRP_100_500.cnf,benchmarks/PRP_100_500.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,TableSymModel_output_8_3_10.bul_.dimacs.cnf,benchmarks/TableSymModel_output_8_3_10.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,TableSymModel_output_8_3_10.bul_.dimacs.cnf,benchmarks/TableSymModel_output_8_3_10.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,10440.0,106244.0,,,,,,,,,,,,,,,,,,,,
maplesat,TableSymModel_output_8_3_10.bul_.dimacs.cnf,benchmarks/TableSymModel_output_8_3_10.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,hash_table_find_safety_size_24.cnf,benchmarks/hash_table_find_safety_size_24.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,hash_table_find_safety_size_24.cnf,benchmarks/hash_table_find_safety_size_24.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,hash_table_find_safety_size_24.cnf,benchmarks/hash_table_find_safety_size_24.cnf,UNSAT,205.89438581466675,20.0,False,False,14191.0,1849277.0,492742215.0,61.0,15062376.0,60600058.0,201.593,,,,,,,,,,,,,,,,,,4080701.0,0.003792
cadical,PRP_30_36.cnf,benchmarks/PRP_30_36.cnf,SAT,58.53366208076477,10.0,False,False,850708.0,4347081.0,87317063.0,35964.0,,,,778312.0,531556.0,267778.0,243161.0,10207.0,57.91,58.49,278.97,10.0,,,,,,,,,,
glucose,PRP_30_36.cnf,benchmarks/PRP_30_36.cnf,SAT,78.67149639129639,10.0,False,False,1353748.0,25389391.0,604624693.0,4269.0,167970.0,999018.0,77.6774,,,,,,,,,,6692.0,24.0,1022816.0,13.0,84107.0,28608.0,8969.0,18483.0,,
maplesat,PRP_30_36.cnf,benchmarks/PRP_30_36.cnf,SAT,200.1498017311096,10.0,False,False,1558988.0,40454586.0,1102403574.0,3068.0,167970.0,999018.0,198.855,,,,,,,,,,,,,,,,,,26455890.0,0.025485
cadical,satsgi-n23himBHm26-p0-q248.cnf,benchmarks/satsgi-n23himBHm26-p0-q248.cnf,SAT,0.0248694419860839,10.0,False,False,,,0.0,,,,,,,,,,0.01,0.01,68.0,10.0,,,,,,,,,,
glucose,satsgi-n23himBHm26-p0-q248.cnf,benchmarks/satsgi-n23himBHm26-p0-q248.cnf,SAT,0.0391750335693359,10.0,False,False,0.0,324.0,598.0,1.0,598.0,14076.0,0.007587,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
maplesat,satsgi-n23himBHm26-p0-q248.cnf,benchmarks/satsgi-n23himBHm26-p0-q248.cnf,SAT,0.0279369354248046,10.0,False,False,0.0,324.0,598.0,1.0,598.0,14076.0,0.009619,,,,,,,,,,,,,,,,,,0.0,
cadical,goldberg03:hard_eq_check:i10mul.miter.used-as.sat04-333.cnf,benchmarks/goldberg03:hard_eq_check:i10mul.miter.used-as.sat04-333.cnf,UNSAT,15.214160203933716,20.0,False,False,216509.0,1373029.0,76191694.0,10375.0,,,,208927.0,122440.0,53008.0,24969.0,3187.0,15.14,15.2,68.0,20.0,,,,,,,,,,
