solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,learned_clauses,reduced,subsumed,strengthened,vivified,process_time_reported,real_time_reported,memory_reported_mb,exit_code_reported,blocked_restarts,reduce_db_calls,removed_clauses,avg_learnt_size,learnts_dl2,learnts_size2,learnts_size1,reduced_clauses,conflict_literals,actual_reward,category,decisions_per_conflict,conflicts_per_decision,decisions_per_second,restarts_per_conflict,conflicts_per_restart,restarts_per_second,learned_per_conflict,removed_per_conflict,reduced_per_conflict,propagations_per_conflict,propagations_per_decision
cadical,asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,SAT,242.54150199890137,10.0,False,False,1433390.0,49876346.0,864871414.0,196612.0,,,,1260375.0,1009270.0,108051.0,155176.0,4914.0,240.56,242.51,139.67,10.0,,,,,,,,,,,industrial,34.79607503889381,0.028738873533357877,205640.45983448194,0.1371657399591179,7.290450226842716,810.6324005567121,0.8792966324587167,,,603.3748065774143,17.340312259442584
glucose,asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,SAT,263.752503156662,10.0,False,False,840506.0,2341076.0,1430131308.0,2312.0,127096.0,296703.0,263.215,,,,,,,,,,9450.0,25.0,767966.0,34.0,920.0,96.0,7.0,354.0,,,industrial,2.7853174159375422,0.3590255079288327,8876.033296296198,0.002750723968656976,363.54065743944636,8.765793584247932,,0.9136948457238854,0.00042117486371304907,1701.5123128210864,610.8863223577534
maplesat,asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
cadical,WCNF_to_alien_14.cnf,benchmarks/WCNF_to_alien_14.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
glucose,WCNF_to_alien_14.cnf,benchmarks/WCNF_to_alien_14.cnf,TIMEOUT,300.0,,True,False,,,,,448.0,5562.0,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
maplesat,WCNF_to_alien_14.cnf,benchmarks/WCNF_to_alien_14.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
cadical,ER_500_10_1.apx_1_DC-AD.cnf,benchmarks/ER_500_10_1.apx_1_DC-AD.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
glucose,ER_500_10_1.apx_1_DC-AD.cnf,benchmarks/ER_500_10_1.apx_1_DC-AD.cnf,TIMEOUT,300.0,,True,False,,,,,1002.0,38763.0,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
maplesat,ER_500_10_1.apx_1_DC-AD.cnf,benchmarks/ER_500_10_1.apx_1_DC-AD.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
cadical,stb_588_138.apx_2_DC-ST.cnf,benchmarks/stb_588_138.apx_2_DC-ST.cnf,UNSAT,164.74405026435852,20.0,False,False,3066973.0,4146750.0,262619644.0,96765.0,,,,3005618.0,2049647.0,809360.0,38150.0,13291.0,150.83,164.72,68.0,20.0,,,,,,,,,,,crafted,1.3520660273174887,0.7396088503044553,25170.86349003723,0.031550652711973666,31.695065364542966,587.3656732654374,0.9799949331148334,,,85.62828691351375,63.33143883764394
