solver,instance,path,status,runtime_sec,returncode,timeout,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,learned_clauses,reduced,subsumed,strengthened,vivified,process_time_reported,real_time_reported,memory_reported_mb,exit_code_reported,blocked_restarts,reduce_db_calls,removed_clauses,avg_learnt_size,learnts_dl2,learnts_size2,learnts_size1,reduced_clauses,conflict_literals,actual_reward
cadical,asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,SAT,124.06310677528381,10.0,False,1433390.0,49876346.0,864871414.0,196612.0,,,,1260375.0,1009270.0,108051.0,155176.0,4914.0,123.3,124.05,531008.0,10.0,,,,,,,,,,
glucose,asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,SAT,146.66066789627075,10.0,False,840506.0,2341076.0,1430131308.0,2312.0,127096.0,296703.0,145.447,,,,,,,,,,9450.0,25.0,767966.0,34.0,920.0,96.0,7.0,354.0,,
maplesat,asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,WCNF_to_alien_14.cnf,benchmarks/WCNF_to_alien_14.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,WCNF_to_alien_14.cnf,benchmarks/WCNF_to_alien_14.cnf,TIMEOUT,150.0,,True,,,,,448.0,5562.0,,,,,,,,,,,,,,,,,,,,
maplesat,WCNF_to_alien_14.cnf,benchmarks/WCNF_to_alien_14.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,ER_500_10_1.apx_1_DC-AD.cnf,benchmarks/ER_500_10_1.apx_1_DC-AD.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,ER_500_10_1.apx_1_DC-AD.cnf,benchmarks/ER_500_10_1.apx_1_DC-AD.cnf,TIMEOUT,150.0,,True,,,,,1002.0,38763.0,,,,,,,,,,,,,,,,,,,,
maplesat,ER_500_10_1.apx_1_DC-AD.cnf,benchmarks/ER_500_10_1.apx_1_DC-AD.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,stb_588_138.apx_2_DC-ST.cnf,benchmarks/stb_588_138.apx_2_DC-ST.cnf,UNSAT,44.3307580947876,20.0,False,1348682.0,1609001.0,219971922.0,2558.0,1176.0,13472.0,44.2408,,,,,,,,,,,,,,,,,,42887700.0,0.09998
cadical,stb_588_138.apx_2_DC-ST.cnf,benchmarks/stb_588_138.apx_2_DC-ST.cnf,UNSAT,74.96244025230408,20.0,False,3115179.0,4206481.0,266398787.0,97636.0,,,,3053005.0,2060689.0,823433.0,45891.0,13121.0,74.92,74.95,36896.0,20.0,,,,,,,,,,
glucose,stb_588_138.apx_2_DC-ST.cnf,benchmarks/stb_588_138.apx_2_DC-ST.cnf,TIMEOUT,150.0,,True,,,,,1176.0,13472.0,,,,,,,,,,,,,,,,,,,,
cadical,oisc-subrv-sll-nested-15.cnf,benchmarks/oisc-subrv-sll-nested-15.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,oisc-subrv-sll-nested-15.cnf,benchmarks/oisc-subrv-sll-nested-15.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,oisc-subrv-sll-nested-15.cnf,benchmarks/oisc-subrv-sll-nested-15.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,ContextModel_output_8_4_10.bul.dimacs.cnf,benchmarks/ContextModel_output_8_4_10.bul.dimacs.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,CNFPlus_from_fp_12.cnf,benchmarks/CNFPlus_from_fp_12.cnf,UNSAT,0.4387068748474121,20.0,False,45617.0,50160.0,2350638.0,611.0,,,,44874.0,9845.0,24739.0,1500.0,297.0,0.43,0.43,11152.0,20.0,,,,,,,,,,
glucose,ContextModel_output_8_4_10.bul.dimacs.cnf,benchmarks/ContextModel_output_8_4_10.bul.dimacs.cnf,TIMEOUT,150.0,,True,,,,,45920.0,308483.0,,,,,,,,,,,,,,,,,,,,
maplesat,ContextModel_output_8_4_10.bul.dimacs.cnf,benchmarks/ContextModel_output_8_4_10.bul.dimacs.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,CNFPlus_from_fp_12.cnf,benchmarks/CNFPlus_from_fp_12.cnf,TIMEOUT,150.0,,True,,,,,348.0,4817.0,,,,,,,,,,,,,,,,,,,,
maplesat,CNFPlus_from_fp_12.cnf,benchmarks/CNFPlus_from_fp_12.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,eqspctbk14spwtcl14.cnf,benchmarks/eqspctbk14spwtcl14.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,eqspctbk14spwtcl14.cnf,benchmarks/eqspctbk14spwtcl14.cnf,TIMEOUT,150.0,,True,,,,,4699.0,14013.0,,,,,,,,,,,,,,,,,,,,
maplesat,eqspctbk14spwtcl14.cnf,benchmarks/eqspctbk14spwtcl14.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,PRP_200_100.cnf,benchmarks/PRP_200_100.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,PRP_200_100.cnf,benchmarks/PRP_200_100.cnf,TIMEOUT,150.0,,True,,,,,3143157.0,18802856.0,,,,,,,,,,,,,,,,,,,,
maplesat,PRP_200_100.cnf,benchmarks/PRP_200_100.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,sgen3-n260-s62321009-sat.cnf,benchmarks/sgen3-n260-s62321009-sat.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,sgen3-n260-s62321009-sat.cnf,benchmarks/sgen3-n260-s62321009-sat.cnf,TIMEOUT,150.0,,True,,,,,260.0,624.0,,,,,,,,,,,,,,,,,,,,
maplesat,sgen3-n260-s62321009-sat.cnf,benchmarks/sgen3-n260-s62321009-sat.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,hash_table_find_safety_size_20.cnf,benchmarks/hash_table_find_safety_size_20.cnf,UNSAT,73.35149812698364,20.0,False,15209.0,1548579.0,345516115.0,62.0,11544110.0,46323062.0,49.6517,,,,,,,,,,,,,,,,,,2129027.0,0.00362
cadical,brent_65_0.1.cnf,benchmarks/brent_65_0.1.cnf,SAT,3.1932730674743652,10.0,False,55449.0,857630.0,21728132.0,1466.0,,,,47891.0,26641.0,3154.0,10077.0,,3.17,3.17,302864.0,10.0,,,,,,,,,,
cadical,hash_table_find_safety_size_20.cnf,benchmarks/hash_table_find_safety_size_20.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,hash_table_find_safety_size_20.cnf,benchmarks/hash_table_find_safety_size_20.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,brent_63_0.26.cnf,benchmarks/brent_63_0.26.cnf,SAT,2.1546599864959717,10.0,False,55565.0,717029.0,16786728.0,1690.0,,,,47489.0,28932.0,3973.0,9807.0,471.0,2.14,2.14,161920.0,10.0,,,,,,,,,,
glucose,brent_65_0.1.cnf,benchmarks/brent_65_0.1.cnf,TIMEOUT,150.0,,True,,,,,77577.0,276874.0,,,,,,,,,,,,,,,,,,,,
maplesat,brent_65_0.1.cnf,benchmarks/brent_65_0.1.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,iso-brn100.shuffled-as.sat05-3025.cnf,benchmarks/iso-brn100.shuffled-as.sat05-3025.cnf,SAT,0.023392915725708008,10.0,False,167.0,9197.0,19920.0,4.0,,,,158.0,,1953.0,705.0,,0.01,0.01,7280.0,10.0,,,,,,,,,,
glucose,iso-brn100.shuffled-as.sat05-3025.cnf,benchmarks/iso-brn100.shuffled-as.sat05-3025.cnf,SAT,0.017313003540039062,10.0,False,226.0,499.0,9319.0,1.0,3587.0,8859.0,0.007656,,,,,,,,,,0.0,0.0,0.0,9.0,11.0,8.0,2.0,47.0,,
